Date,Open,High,Low,Close,Volume
2015-01-02,13.317103268925413,13.550305475750973,13.218912742838503,13.50121021270752,430300
2015-01-05,13.550301195385785,13.550301195385785,13.255729710176384,13.390741348266602,565800
2015-01-06,13.390744630582434,13.501209257243612,12.887517927368902,13.36619758605957,547900
2015-01-07,13.439842046029794,13.648497225299332,13.132996331871471,13.231186866760254,1372500
2015-01-08,13.562578840185651,13.562578840185651,13.24345906264638,13.403018951416016,829100
2015-01-09,13.403017782720312,13.439838932141605,13.304827270581377,13.329374313354492,1293400
2015-01-12,13.145265110592101,13.488931843336402,13.010253472501883,13.390741348266602,1286900
2015-01-13,13.439837109494999,13.439837109494999,13.071622153647928,13.317099571228027,1937800
2015-01-14,13.206634967421598,13.34164661067219,13.206634967421598,13.317099571228027,1550200
2015-01-15,13.427563004511379,13.427563004511379,13.145265613026574,13.317099571228027,767300
2015-01-16,13.353921003140533,13.353921003140533,13.071622435055295,13.132991790771484,1550100
2015-01-19,13.083896540303153,13.16981293599196,12.961158999393874,13.132991790771484,2015800
2015-01-20,13.047075395082679,13.292551647424341,13.034801289834821,13.132991790771484,1132400
2015-01-21,13.047077603813724,13.15754222869873,13.047077603813724,13.15754222869873,1684900
2015-01-22,13.206641002473054,13.623951398430261,13.206641002473054,13.562582015991211,1704000
2015-01-23,13.636222718776079,13.77123557820976,13.62394978016495,13.722140312194824,2197800
2015-01-26,13.501211029865871,13.722140312194822,13.501211029865871,13.722140312194824,1450900
2015-01-27,13.501208528187693,13.85714943347353,13.501208528187693,13.709863662719727,1457800
2015-01-28,13.79578081827894,13.79578081827894,13.206637703295776,13.636220932006836,1620400
2015-01-29,13.304829253626313,13.6484960973351,13.304829253626313,13.62394905090332,1738000
2015-01-30,13.525758524129381,13.636221988857505,13.525758524129381,13.62394905090332,2686200
2015-02-04,13.808054288844879,14.114899939708097,13.746684924567582,13.795780181884766,1724800
2015-02-05,13.869422155336741,13.869422155336741,13.660767041640955,13.771231651306152,1596200
2015-02-06,13.771231331426547,13.78350426625294,13.513480971702519,13.746683120727539,1760200
2015-02-09,13.50121263355216,13.79578426463127,13.427569140520578,13.562582015991211,599100
2015-02-10,13.562580429347053,13.734413275445869,13.538032211033808,13.55030632019043,946100
2015-02-11,13.538030409289565,13.538030409289565,13.317102326490527,13.36619758605957,1144000
2015-02-12,13.31710561537617,13.341652665961343,12.973437542994867,13.304831504821777,1003700
2015-02-13,13.317099727335385,13.623945332384375,13.317099727335385,13.574850082397461,447400
2015-02-16,13.574850082397461,13.943063872037776,13.550301872142457,13.574850082397461,1527200
2015-02-17,13.513484098503644,13.73441219329834,13.513484098503644,13.73441219329834,422400
2015-02-18,13.74668545244935,13.74668545244935,13.673043148907293,13.68531608581543,285800
2015-02-23,13.685315558460402,13.832602500915527,13.673042622025196,13.832602500915527,846600
2015-02-24,13.918518610281234,14.188543104964202,13.820328097764381,14.114899635314941,1592100
2015-02-25,14.053528461481969,14.605850315850187,13.869421566866928,14.556755065917969,2192400
2015-02-26,14.556755679815975,14.556755679815975,14.139446623054614,14.4340181350708,1784400
2015-02-27,14.470842706838035,14.470842706838035,14.053532380771927,14.15172290802002,1661700
2015-03-02,14.397196638920752,14.397196638920752,14.16399447124451,14.176268577575684,759400
2015-03-03,14.34810138411927,14.397196638920752,14.11489921644303,14.176268577575684,1052800
2015-03-04,14.286729803848385,14.335825047001556,14.225360457276185,14.249907493591309,1277700
2015-03-05,14.280799713981288,14.29315245112144,14.083140603994199,14.231385231018066,1575300
2015-03-06,13.959602817939826,14.14490680574347,13.959602817939826,14.120200157165527,766800
2015-03-09,13.897830034169226,13.934890584382924,13.57663545729413,13.873122215270996,736500
2015-03-10,14.05843306817541,14.095493633535462,13.848421234244901,13.910189628601074,1168000
2015-03-11,13.786654768220872,14.021374463977624,13.6384113079118,13.885483741760254,989800
2015-03-12,13.836069254990562,13.984312715299634,13.836069254990562,13.885483741760254,1257500
2015-03-13,14.083141688839014,14.083141688839014,13.885483741760252,13.885483741760254,463100
2015-03-16,14.194324578604391,14.194324578604391,13.885483741760252,13.885483741760254,460700
2015-03-17,13.885478519275072,14.083136392012475,13.885478519275072,14.033721923828125,1233300
2015-03-18,14.009015429905562,14.194319393062123,14.009015429905562,14.095490455627441,532000
2015-03-19,14.169613198342464,14.589636784862902,13.638406759139096,14.28079605102539,1058400
2015-03-20,14.280793202549216,14.29314593405705,14.23137874211688,14.268439292907715,1303600
2015-03-23,14.34256693408466,14.453749815285459,14.157262917506133,14.231385231018066,1379200
2015-03-24,14.095492646512898,14.379626769401439,14.095492646512898,14.219029426574707,1120100
2015-03-25,14.231383340207698,14.354918942135457,14.194321599308726,14.219029426574707,1213600
2015-03-26,14.515516284962189,14.515516284962189,14.181967685675737,14.219029426574707,940100
2015-03-27,14.429037388190805,14.429037388190805,14.206671714782715,14.206671714782715,1157400
2015-03-30,14.21903131574371,14.268445798706932,14.21903131574371,14.231385231018066,636700
2015-03-31,14.330212293003525,14.367272855768448,14.194321599308726,14.219029426574707,1432200
2015-04-01,14.243732267639485,14.243732267639485,14.194317804452547,14.206671714782715,350500
2015-04-02,14.81200314334967,14.81200314334967,14.206675512941716,14.219029426574707,1470200
2015-04-03,14.231383340207698,14.293150552104553,14.10784656014589,14.219029426574707,333600
2015-04-06,14.21902947631916,14.379626819707731,14.095492695825165,14.181967735290527,626400
2015-04-07,14.181965013464087,14.330209592859154,14.181965013464087,14.256087303161621,597000
2015-04-08,14.00901946861647,14.305506366395795,14.00901946861647,14.231385231018066,1117800
2015-04-09,14.23137953544305,14.23137953544305,14.144903341265609,14.206671714782715,367500
2015-04-10,14.157257251595777,14.515512404234514,14.157257251595777,14.206671714782715,498500
2015-04-13,14.219025625112883,14.26844008829982,14.144903341265609,14.206671714782715,599400
2015-04-14,14.194321648966739,14.21902947631916,14.13255325871974,14.181967735290527,654500
2015-04-15,14.194322396063196,14.280798618214158,14.144907916891555,14.169615745544434,494200
2015-04-16,14.169612899271646,14.330210218853574,14.144905075581867,14.157258987426758,553300
2015-04-17,14.157258047682566,14.206672513648163,14.120197492741816,14.144904136657715,747500
2015-04-20,14.144904136657717,14.169611958707415,14.132550225632867,14.144904136657715,891500
2015-04-21,14.157258047682566,14.169611958707415,14.120197492741816,14.144904136657715,1441600
2015-04-22,14.144904136657717,14.157258047682566,14.132550225632867,14.144904136657715,678900
2015-04-23,14.13255786895752,14.26844860745718,14.13255786895752,14.13255786895752,585900
2015-04-24,14.206675562642948,14.21902947631916,13.971957093465223,14.181967735290527,746200
2015-04-27,14.194317804452547,14.490804583574178,14.18196389412238,14.206671714782715,1190200
2015-04-28,14.033720504561565,14.330208461816929,14.033720504561565,14.206671714782715,1565700
2015-04-29,14.206675562642948,14.21902947631916,14.18196773529053,14.181967735290527,1325900
2015-04-30,14.181965328381178,14.194319239960729,14.033721923828125,14.033721923828125,1557300
2015-05-05,14.20667428156114,14.20667428156114,13.996662480539522,14.083137512207031,993900
2015-05-06,14.07078651011212,14.07078651011212,14.021372031913572,14.0460786819458,832700
2015-05-07,13.73724192743364,14.14491178666375,13.73724192743364,14.13255786895752,1111600
2015-05-08,14.132555605855133,14.144909521583083,13.996666067250443,14.070788383483887,2011700
2015-05-11,13.922540844107138,14.379624988718918,13.922540844107138,13.959601402282715,618100
2015-05-12,13.897833153223496,13.897833153223496,13.712529182434082,13.712529182434082,721700
2015-05-13,13.712527749079813,13.712527749079813,13.403687044624267,13.539576530456543,1085800
2015-05-14,13.761947042883497,13.774299780013848,13.539581280658295,13.551935195922852,718100
2015-05-15,13.539576530456543,13.551930441386874,13.52722261952621,13.539576530456543,174100
2015-05-18,13.712532564344645,14.503164291381838,13.514873454451143,14.503164291381836,526300
2015-05-19,13.77429816171252,14.12020067967582,13.638408644170266,13.650762557983398,1223700
2015-05-20,13.626054730357133,13.873127115949444,13.539579689933342,13.650762557983398,1401500
2015-05-21,13.650758597632498,13.650758597632498,13.57663631439209,13.57663631439209,757200
2015-05-22,13.539577945732425,13.947247623976269,13.539577945732425,13.712529182434082,1278600
2015-05-25,13.737237598407189,13.749591512220322,13.650762557983398,13.650762557983398,1453900
2015-05-26,13.700490566798225,13.700490566798225,12.917250070750988,13.414545059204102,640300
2015-05-27,13.41454611994948,13.688058978048907,13.37724928927747,13.551301956176758,1188500
2015-05-28,13.762657482160165,13.762657482160165,13.526442557258937,13.638334274291992,1637200
2015-05-29,13.78752207435184,13.78752207435184,13.588604004222452,13.613468170166016,2732900
2015-06-01,13.799955511601375,13.799955511601375,13.56373940105486,13.638334274291992,1447100
2015-06-02,13.650757745542732,13.7750820660178,13.451839781298293,13.625893592834473,1642400
2015-06-03,13.775085763580135,13.775085763580135,13.638329922864695,13.675626754760742,1793200
2015-06-04,13.58859624710672,13.700487894091918,13.58859624710672,13.663189888000488,1065400
2015-06-05,13.663190414719157,13.700488422248432,13.576164101773363,13.625893592834473,1009200
2015-06-08,13.228062818943997,13.60103355441607,12.979414081102545,13.588602066040039,905500
2015-06-09,13.426978792055104,13.61346413106002,13.426978792055104,13.551301956176758,786900
2015-06-10,13.30265065312343,13.63832559049151,13.30265065312343,13.526433944702148,396100
2015-06-11,13.625900397881308,13.625900397881308,13.35238746762509,13.464279174804688,290500
2015-06-12,13.787516305253513,13.787516305253513,13.364814990276496,13.426977157592773,120200
2015-06-15,13.638333073266859,13.638333073266859,13.426982334293216,13.464279174804688,1163100
2015-06-16,13.240497267067314,13.638334625158162,13.178336254356688,13.451848030090332,968900
2015-06-17,13.464273834367491,13.514003330539927,13.451841163913205,13.476706504821777,474900
2015-06-18,13.514003330539927,13.514003330539927,13.464273834367491,13.476706504821777,1100400
