Date,Close,High,Low,Open,Volume
2015-01-02,2.1302671432495117,2.139920989525964,2.114177604045666,2.1206134504157403,1017600
2015-01-05,2.123831272125244,2.130267118420306,2.107741733108929,2.1173954258301824,5508600
2015-01-06,2.1206135749816895,2.1302672683825237,2.0659088009013287,2.1238314216344043,7399000
2015-01-07,2.1206135749816895,2.1270494217298093,2.11417772823357,2.1270494217298093,12139200
2015-01-08,2.1206135749816895,2.1302672683825237,2.117395574886285,2.1206135749816895,17600800
2015-01-09,2.127049207687378,2.1463567459888417,2.1238312079157966,2.1238312079157966,11807200
2015-01-12,2.123831272125244,2.130267118420306,2.1173954258301824,2.1173954258301824,3200200
2015-01-13,2.1527926921844482,2.1592285385841743,2.1077417673863685,2.1077417673863685,7625200
2015-01-14,2.139921188354492,2.152792882290601,2.130267341181063,2.152792882290601,10164000
2015-01-15,2.1302671432495117,2.136702989619586,2.0948700649354426,2.1206134504157403,4199600
2015-01-16,2.1334850788116455,2.13992092498762,2.127049232635671,2.13992092498762,6372200
2015-01-19,2.123831272125244,2.130267118420306,2.1109595795351206,2.123831272125244,8485000
2015-01-20,2.127049207687378,2.139920899888354,2.101305823285426,2.1238312079157966,2891200
2015-01-21,2.127049207687378,2.1367029001167728,2.1238312079157966,2.1367029001167728,7054200
2015-01-22,2.17210054397583,2.213933628315688,2.1302674596359727,2.1302674596359727,7604600
2015-01-23,2.2042784690856934,2.2203681545486815,2.168881253132687,2.17209925160233,8381800
2015-01-26,2.2042784690856934,2.2042784690856934,2.181753093568645,2.188188937065318,5303800
2015-01-27,2.188190221786499,2.2042797632532993,2.159228832326474,2.2042797632532993,2358800
2015-01-28,2.1946253776550293,2.2010612229027062,2.1238309264879276,2.1238309264879276,10297400
2015-01-29,2.2010610103607178,2.2074968549869274,2.1946251657345077,2.197843011326293,23343200
2015-01-30,2.2203691005706787,2.2268049468094415,2.204279408252433,2.204279408252433,19606200
2015-02-04,2.217151165008545,2.2461125506439514,2.213933318517212,2.2203691649425603,7982200
2015-02-05,2.2268049716949463,2.2268049716949463,2.194625740141515,2.2235869718182633,9085200
2015-02-06,2.2268049716949463,2.2332408180056325,2.213933279073574,2.2268049716949463,5605600
2015-02-09,2.246112585067749,2.246112585067749,2.2268050454957993,2.2300228920364487,8215000
2015-02-10,2.246112585067749,2.2525484315917326,2.233240892019783,2.246112585067749,7820400
2015-02-11,2.2525486946105957,2.2557666949696795,2.249330694251512,2.249330694251512,14676000
2015-02-12,2.2525486946105957,2.2557666949696795,2.2461128473351306,2.2525486946105957,8870600
2015-02-13,2.2525486946105957,2.2557666949696795,2.249330694251512,2.2525486946105957,7471600
2015-02-16,2.2525486946105957,2.2557666949696795,2.242894846976047,2.2557666949696795,6820000
2015-02-17,2.2525486946105957,2.2557666949696795,2.2203694582332707,2.2525486946105957,8932800
2015-02-18,2.2493302822113037,2.2557662817505024,2.2493302822113037,2.252548281980903,7846000
2015-02-23,2.2557663917541504,2.258984238237995,2.2493303919010965,2.2493303919010965,7695000
2015-02-24,2.3008177280426025,2.3072535756037866,2.252548794612367,2.252548794612367,7751400
2015-02-25,2.2975990772247314,2.304034922964304,2.268637848117988,2.2975990772247314,5438200
2015-02-26,2.2847275733947754,2.2943814195183565,2.2654200345902913,2.2847275733947754,5337200
2015-02-27,2.3104708194732666,2.3104708194732666,2.28150958973014,2.2879454356111317,5825400
2015-03-02,2.316906690597534,2.332996382196648,2.2622020767344218,2.3072529983922023,10717800
