ticker,horizon,price,cost,W,L,req
0128.KL,1,4.949999809265137,0.6620202098045044,1.7144593238206198,1.4828503057439566,0.6708360353077718
0138.KL,1,0.2399999946355819,2.543333379899464,1.8005015362085228,2.134130083141688,1.1887932379838946
0166.KL,1,2.609999895095825,0.84314177785179,2.117753474031655,2.006450939502687,0.6909436176352001
0208.KL,1,2.549999952316284,0.852156870078234,2.2975239833898984,1.827634600114745,0.6496214426540391
1023.KL,1,7.989999771118164,0.5851564491421825,0.9886047147407118,0.9423870367760383,0.7910668104710288
1066.KL,1,8.3100004196167,0.5803369373651759,0.7186646506301567,0.7262056011972468,0.9042628823660598
1082.KL,1,18.979999542236328,0.5653740805182521,0.713828527105027,0.7979906887536442,0.901804101291002
1155.KL,1,10.579999923706056,0.6490359181873626,0.6658094260855631,0.6054246964963624,0.9868053353821774
1295.KL,1,5.0,0.66,0.9121003318657896,0.8258907607008613,0.8549472819831948
2445.KL,1,22.3799991607666,0.5493655082662431,0.9655929419213932,0.9400996335729355,0.7815873142355175
2488.KL,1,5.039999961853027,0.6584126999144532,1.0456823047060957,0.9376355778882854,0.804736493231708
3182.KL,1,2.039999961853028,0.9501960875977923,1.2509284701474739,1.1556428929540197,0.8750369977966873
3336.KL,1,2.940000057220459,0.800136047801789,1.9188703481029104,1.621242778562179,0.6839834603378881
3816.KL,1,7.769999980926514,0.5887001290160566,0.8505172283186031,0.8974615967133246,0.8502172362998938
4065.KL,1,9.960000038146973,0.560401606041163,1.240375458236926,1.175090700093476,0.7184916667738501
4197.KL,1,2.5999999046325684,0.8446153987229934,1.6472705265978707,1.4966981743301988,0.7447000259137626
4677.KL,1,2.400000095367432,0.8766666501098215,2.273835515218822,2.198216068368878,0.6875776499903155
4715.KL,1,1.6299999952316284,1.07349693431005,1.2139886342361137,1.2253039370963739,0.9424047358741724
4863.KL,1,7.779999732971191,0.5885347087818085,0.9951986065268688,0.8858705608271498,0.7838123633076775
5031.KL,1,6.0,0.6266666666666667,1.002962179025073,0.871711415004721,0.7992741170746838
5168.KL,1,0.9549999833106996,0.983560218573669,2.514305058362443,2.0429734784256324,0.6641098788603719
5176.KL,1,2.0799999237060547,0.9407692484037419,1.1176372359440663,1.118106194853711,0.9208907493123158
5183.KL,1,4.300000190734863,0.6925581292193156,2.1438687868777646,1.9387155998670145,0.6445117797514428
5211.KL,1,4.96999979019165,0.6612072519547206,1.4820241651447108,1.387601356658901,0.7139637534746721
5225.KL,1,7.989999771118164,0.5851564491421825,0.7201536876709219,0.7658353767199689,0.9091532759131878
5246.KL,1,6.869999885559082,0.6055604099938963,1.1565992370030713,1.0025664955281475,0.7447908612539971
5258.KL,1,2.119999885559082,0.931698138670551,1.0745836125849824,1.0144465921044812,0.9316020067140811
5285.KL,1,6.400000095367432,0.6162499976716936,1.1191515482202765,1.0121812054420862,0.7640436249645087
5296.KL,1,1.3300000429153442,1.2118796749870864,1.7805961484815565,1.652022586152411,0.8343199412867172
5347.KL,1,13.68000030517578,0.6061988271479283,0.852295464488271,0.7874729181793294,0.8499198789648639
5398.KL,1,4.670000076293945,0.6741327588143398,1.4649340145096055,1.3064363212080508,0.714653344771952
5681.KL,1,20.3799991607666,0.5581354309302518,1.2867284123883849,1.2703215115734194,0.7150650151056588
5819.KL,1,23.8799991607666,0.5437520967457101,0.7268983651043293,0.7494800417622516,0.8759489657212455
6012.KL,1,3.569999933242798,0.7401120500558815,1.2189358991294383,1.1294382409045025,0.7961041041498454
6033.KL,1,17.6200008392334,0.5735073725732589,0.7346725975917809,0.7353886446339064,0.8903683599096074
6742.KL,1,5.75,0.6339130434782609,2.1839870968916313,1.8889810031332526,0.6194239642083375
6888.KL,1,1.7699999809265137,1.0249717575005544,1.7103236430800417,1.5427427828687887,0.7893212754241288
6947.KL,1,2.7100000381469727,0.8290036848426666,1.141671931422537,1.1725194221695527,0.8648909278420098
7084.KL,1,3.829999923706055,0.7210966109451934,0.9304113516465781,0.885161987354575,0.8847114923947164
7160.KL,1,5.090000152587891,0.6564636483343864,2.1612259661617497,1.7338318133774748,0.6136739419548808
