Date,Close,High,Low,Volume
2020-10-26,1.0104209184646606,1.0392906952298104,0.8660755449434253,604860750
2020-10-27,1.0046480894088743,1.0450644129659428,0.9930999046792096,122695050
2020-10-28,1.0161950588226318,1.0219690967663193,0.9930994232691336,41762550
2020-10-30,1.0104209184646606,1.0161950596573417,0.9700046144664064,22959300
2020-11-02,0.9873262643814088,1.0104210776380405,0.9815521222791176,9364650
2020-11-03,0.9988738894462584,1.0219695349012343,0.9873265313180962,17192550
2020-11-04,1.0277425050735474,1.039290788495246,1.0046476933825648,33837300
2020-11-05,1.0854812860488892,1.0854812860488892,1.0219693319165402,36208200
2020-11-06,1.1778630018234253,1.2067318554763056,1.0681597679806885,94108500
2020-11-09,1.2298272848129272,1.3106607219289526,1.1778627996385838,46555200
2020-11-10,1.3164349794387815,1.3164349794387815,1.2356007092402763,28683300
2020-11-11,1.2586963176727295,1.3279823023593926,1.2529221758827245,8745900
2020-11-12,1.241374969482422,1.3048868199501766,1.241374969482422,8869500
2020-11-13,1.2356010675430298,1.25869671275399,1.2240537095368704,6270300
2020-11-16,1.241374969482422,1.2817921084337898,1.1951845140069144,10221000
2020-11-17,1.270243525505066,1.270243525505066,1.2413746782823687,9424350
2020-11-18,1.270243525505066,1.270243525505066,1.2413746782823687,6878550
2020-11-19,1.2586963176727295,1.316434947977732,1.2413748215010636,12562500
2020-11-20,1.345304012298584,1.437685642536518,1.2529222788163803,48689400
2020-11-23,1.397268533706665,1.408815889273552,1.362625537807559,17835750
2020-11-24,1.3683996200561523,1.4261374277960268,1.3568513357983074,16844700
2020-11-25,1.3626258373260498,1.3972688408400271,1.3568516936741704,12423600
2020-11-26,1.3683996200561523,1.397268472303956,1.3568513357983074,20087850
2020-11-27,1.4319117069244385,1.44345916716556,1.3683998496439955,28487700
2020-11-30,1.5230021476745603,1.5635386068405754,1.4361388687280678,29146050
2020-12-01,1.5287935733795166,1.5924930381018496,1.494048297841056,19864050
2020-12-02,1.5287935733795166,1.5461662111487469,1.505629745706609,4928400
2020-12-03,1.5114208459854126,1.551956480631139,1.499838466864875,11524650
2020-12-04,1.505629539489746,1.5403748102693595,1.4824657149894458,11369400
2020-12-07,1.505629539489746,1.569328995487555,1.4998383503792525,13261800
2020-12-08,1.679356575012207,1.731474495908292,1.517211414478866,33109200
2020-12-09,1.6735647916793823,1.6793559803756806,1.6272379743847505,16222800
2020-12-10,1.7604281902313232,1.7951734630222544,1.667774647200911,19676250
2020-12-11,1.6504021883010864,1.795173656087618,1.6330295500372474,21818250
2020-12-14,1.638819932937622,1.7025202286912406,1.5809116557203082,13711200
2020-12-15,1.656192660331726,1.6851476806619967,1.6446111078156531,8279850
2020-12-16,1.7025202512741089,1.7198928899933803,1.6619837836151916,11795250
2020-12-17,1.7893835306167605,1.876246935473754,1.708310591413954,37677450
2020-12-18,1.853082776069641,1.853082776069641,1.766219588895465,15928200
2020-12-21,1.7604281902313232,1.853082665203463,1.7372652963318542,10625100
2020-12-22,1.7141016721725464,1.7546381391787456,1.702520223860134,17112900
2020-12-23,1.7488471269607544,1.7835924053171794,1.714101745055232,13397250
2020-12-24,1.7372654676437378,1.7662196573931936,1.719892829535155,6298200
2020-12-28,1.7546381950378418,1.7778010924000598,1.7314743657337568,8796450
2020-12-29,1.7488471269607544,1.766219766138967,1.7372655746068075,6632400
2020-12-30,1.8357105255126955,1.8588744611706471,1.7314745753867629,18226650
2020-12-31,1.8067564964294436,1.847292248507024,1.8009654084349132,6029400
2021-01-04,1.818337559700012,1.8472917492580851,1.8009649217062598,7457700
2021-01-05,1.8067564964294436,1.8299196058181435,1.7835927657460329,14967300
2021-01-06,1.7546381950378418,1.82412875100823,1.7372655560452448,10447800
2021-01-07,1.7604281902313232,1.7835921196216007,1.6619835613042606,17043900
2021-01-08,1.685147762298584,1.748847236164782,1.679356571563599,10828950
2021-01-11,1.6619839668273926,1.725683338506134,1.6098659413751468,14714700
2021-01-12,1.66777503490448,1.6793565880956305,1.5809118327342764,13227600
2021-01-13,1.7662198543548584,1.7835924944007675,1.6735653599135996,16729650
2021-01-14,1.7546381950378418,1.7835923862606442,1.7430558144148658,6469050
2021-01-15,1.7546381950378418,1.8125465774834464,1.7430558144148658,8782350
2021-01-18,1.725683331489563,1.7546383537237695,1.725683331489563,7048050
2021-01-19,1.7372654676437378,1.7546381057523206,1.7083104495015533,3187050
2021-01-20,1.7720105648040771,1.8415011102165784,1.7314741026662095,19598100
2021-01-21,1.7604281902313232,1.8067558419137169,1.7372652963318542,9500850
2021-01-22,1.7604281902313232,1.789383205518251,1.7430555538358576,9526500
2021-01-25,1.7141016721725464,1.760428397364033,1.6851475854205968,14987700
2021-01-26,1.7314741611480713,1.7372653507752902,1.6967288872682724,8328600
2021-01-27,1.725683331489563,1.7430559720533063,1.7198930725962829,11656050
2021-01-29,1.7141016721725464,1.7256831204849583,1.6851475854205968,31860150
2021-02-02,1.66777503490448,1.719893059755707,1.66198394766159,11415750
2021-02-03,1.685147762298584,1.7198930428246235,1.661983931300579,12732750
2021-02-04,1.7546381950378418,1.7604284534074628,1.6851476390674538,14912700
2021-02-05,1.7893835306167605,1.7951737891727484,1.7198929724097247,9569400
2021-02-08,1.82412850856781,1.841501145251453,1.7893832352005248,12382650
2021-02-09,1.934155225753784,1.9573191607066684,1.8299193823497089,30153300
2021-02-10,1.9689007997512815,1.9920647381496703,1.8415018308372952,18823050
2021-02-11,2.0094363689422607,2.0094363689422607,1.9225729898488568,4777950
2021-02-15,1.9167821407318115,2.015227702414302,1.910991883179949,5654400
2021-02-16,2.0210177898406982,2.0268088747043067,1.9167817829638665,17461500
2021-02-17,1.97469162940979,2.044182185631171,1.968900335528288,6563400
2021-02-18,2.1599998474121094,2.1831637832999653,1.9862732276282675,20068050
2021-02-19,2.2526538372039795,2.327935679814632,2.1773719945933263,22399050
2021-02-22,2.200536012649536,2.293190496267621,2.1831633746329637,6567300
